,Team_Id,Team_Name,Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
18416,1200,Fordham,2014,4,1200,87,1384,67,H,0,31,65,13,28,12,18,14,27,13,11,6,7,22,20,56,6,26,21,29,13,22,10,14,7,2,22
18417,1200,Fordham,2014,11,1200,80,1250,72,H,0,29,74,3,18,19,26,20,32,17,12,7,4,19,26,63,3,22,17,20,6,29,11,12,3,3,22
18418,1200,Fordham,2014,22,1200,79,1264,75,A,0,23,58,7,18,26,37,14,28,11,8,5,4,21,26,71,6,32,17,23,18,27,12,9,4,11,28
18419,1200,Fordham,2014,30,1200,79,1202,48,H,0,31,66,8,21,9,13,20,25,18,13,9,3,18,16,47,0,11,16,19,7,18,5,17,11,1,12
18420,1200,Fordham,2014,36,1200,77,1159,73,A,0,25,55,4,13,23,27,10,20,5,12,7,1,14,29,57,8,23,7,12,11,21,19,15,5,0,20
18421,1200,Fordham,2014,40,1200,79,1224,60,H,0,31,62,8,26,9,11,17,23,19,8,9,5,11,20,65,9,24,11,14,22,15,8,11,6,0,13
18422,1200,Fordham,2014,49,1200,83,1260,69,H,0,27,60,8,23,21,23,13,20,18,6,7,2,10,30,63,8,21,1,2,14,20,21,14,4,0,19
18423,1200,Fordham,2014,79,1200,76,1206,70,H,0,25,51,6,17,20,28,8,23,13,8,6,6,16,28,60,6,17,8,11,12,25,10,13,7,5,24
18424,1200,Fordham,2014,89,1200,85,1348,79,H,0,29,63,8,17,19,26,19,19,15,11,6,1,19,28,56,6,16,17,28,14,18,18,11,7,6,23
18425,1200,Fordham,2014,128,1200,70,1206,67,N,0,23,65,3,20,21,32,24,26,7,7,3,4,16,25,64,6,16,11,17,17,25,10,9,3,4,24
18608,1201,Fresno St,2014,4,1201,98,1414,97,A,1,33,64,14,30,18,24,4,28,20,11,9,3,20,36,71,11,24,14,29,16,29,21,15,5,3,20
18609,1201,Fresno St,2014,12,1201,80,1169,64,H,0,31,56,5,21,13,18,10,26,15,16,6,5,16,25,56,3,12,11,16,7,17,10,14,4,2,17
18610,1201,Fresno St,2014,16,1201,63,1142,46,H,0,20,50,5,20,18,22,10,35,8,11,4,4,16,17,53,2,17,10,16,6,22,6,6,6,2,20
18611,1201,Fresno St,2014,26,1201,96,1167,86,H,1,28,53,6,18,34,47,8,26,18,10,9,7,21,31,71,10,26,14,21,19,24,15,17,4,0,30
18612,1201,Fresno St,2014,27,1201,71,1319,67,H,1,22,54,9,23,18,26,10,28,14,10,5,2,18,25,58,4,18,13,22,11,27,12,9,5,0,19
18613,1201,Fresno St,2014,65,1201,71,1102,65,H,0,19,47,9,19,24,32,8,21,10,10,7,7,18,21,49,6,16,17,22,10,25,9,14,6,1,22
18614,1201,Fresno St,2014,86,1201,67,1461,62,H,0,24,45,5,17,14,21,6,24,10,7,5,5,20,23,48,7,15,9,17,8,18,8,9,2,2,19
18615,1201,Fresno St,2014,93,1201,68,1102,51,A,0,25,58,8,26,10,15,12,24,10,11,13,6,14,18,47,9,25,6,11,8,24,15,20,7,3,16
18616,1201,Fresno St,2014,96,1201,82,1363,56,H,0,28,57,13,28,13,15,9,28,15,10,8,5,16,17,56,8,28,14,16,13,22,7,13,5,1,16
18617,1201,Fresno St,2014,100,1201,75,1305,67,A,0,22,55,9,25,22,26,12,25,12,8,3,4,20,22,51,7,18,16,27,10,24,10,12,3,4,21
18618,1201,Fresno St,2014,103,1201,75,1161,66,H,0,26,51,6,20,17,23,4,26,13,6,9,3,19,22,53,7,18,15,24,11,25,9,13,2,3,18
18619,1201,Fresno St,2014,110,1201,79,1429,76,A,0,29,66,11,23,10,10,9,25,17,3,4,4,15,30,59,6,21,10,15,7,28,23,6,2,5,13
18620,1201,Fresno St,2014,114,1201,76,1129,56,H,0,27,56,11,19,11,12,4,24,14,4,6,4,17,19,50,2,18,16,20,10,25,7,12,1,0,15
18621,1201,Fresno St,2014,124,1201,69,1363,56,A,0,24,50,7,23,14,23,9,31,8,11,8,5,13,22,62,5,25,7,11,10,23,13,9,1,0,18
18622,1201,Fresno St,2014,128,1201,61,1102,59,N,0,18,54,5,19,20,28,12,22,7,8,6,2,19,20,45,4,15,15,26,6,29,13,12,2,3,23
18781,1202,Furman,2014,8,1202,75,1205,64,H,0,26,58,5,13,18,27,17,23,6,10,5,5,17,24,59,3,16,13,19,16,19,8,13,6,2,26
18782,1202,Furman,2014,33,1202,74,1342,59,A,0,27,50,11,22,9,11,7,22,14,10,4,2,13,26,55,5,15,2,3,8,18,16,8,3,2,14
18783,1202,Furman,2014,46,1202,86,1251,83,H,0,27,48,10,19,22,37,8,24,10,12,1,0,24,28,62,9,21,18,27,17,23,15,12,8,2,28
18784,1202,Furman,2014,56,1202,75,1413,65,A,0,28,54,5,15,14,17,10,24,11,12,4,3,21,21,57,9,24,14,19,13,17,8,11,5,1,21
18785,1202,Furman,2014,75,1202,76,1154,71,A,0,27,57,10,20,12,21,11,21,15,10,1,0,16,28,61,5,15,10,17,14,23,12,8,2,6,15
18786,1202,Furman,2014,103,1202,76,1154,67,H,0,25,53,7,22,19,25,11,27,14,8,3,9,13,21,56,9,20,16,20,8,21,9,4,5,1,21
18787,1202,Furman,2014,110,1202,68,1111,53,H,0,25,50,4,17,14,22,6,25,13,13,8,7,20,19,61,3,14,12,21,21,24,5,15,5,2,22
18989,1203,G Washington,2014,4,1203,76,1347,54,H,0,24,48,5,9,23,29,10,33,12,17,9,4,21,20,60,5,21,9,21,15,19,11,13,8,3,27
18990,1203,G Washington,2014,8,1203,108,1263,81,H,0,38,70,11,28,21,28,16,33,21,13,3,9,19,32,74,5,19,12,24,15,21,14,11,11,2,24
18991,1203,G Washington,2014,12,1203,80,1264,74,A,0,25,53,6,15,24,39,15,28,14,15,8,6,21,23,57,9,30,19,26,10,20,14,12,8,4,27
18992,1203,G Washington,2014,15,1203,94,1175,50,H,0,35,58,10,17,14,19,12,29,25,12,11,6,20,17,51,4,15,12,20,9,15,13,17,6,5,15
18993,1203,G Washington,2014,24,1203,71,1274,63,N,1,29,61,8,16,5,9,7,25,10,6,7,5,16,21,58,6,17,15,17,12,25,9,12,5,6,15
18994,1203,G Washington,2014,27,1203,60,1166,53,N,0,24,61,4,9,8,12,13,24,15,10,6,6,11,19,56,7,25,8,10,11,26,9,13,2,4,17
18995,1203,G Washington,2014,30,1203,93,1353,87,H,0,30,57,6,12,27,37,16,19,20,11,7,3,17,31,61,13,27,12,14,13,16,15,16,2,4,28
18996,1203,G Washington,2014,34,1203,77,1268,75,N,0,24,54,3,10,26,33,13,25,15,19,10,3,23,25,64,5,19,20,26,17,19,7,18,11,5,24
18997,1203,G Washington,2014,37,1203,70,1131,60,H,0,21,53,6,13,22,31,12,27,12,12,7,7,11,22,56,11,27,5,8,9,23,11,16,5,2,24
18998,1203,G Washington,2014,47,1203,74,1420,61,H,0,28,53,5,19,13,27,10,24,12,17,10,7,17,24,52,5,15,8,11,7,21,14,21,10,1,21
18999,1203,G Washington,2014,54,1203,69,1220,58,A,0,24,47,8,16,13,22,9,17,13,10,12,5,17,22,52,7,22,7,14,17,16,7,16,3,2,22
19000,1203,G Washington,2014,60,1203,73,1208,55,H,0,25,57,3,15,20,28,14,22,10,10,11,5,18,23,50,1,10,8,15,10,20,4,20,6,7,22
19001,1203,G Washington,2014,68,1203,69,1348,56,H,0,29,60,1,11,10,19,12,26,13,7,7,6,20,23,54,2,11,8,12,8,24,9,11,3,8,19
19002,1203,G Washington,2014,71,1203,76,1433,66,H,0,27,48,2,10,20,32,10,35,14,21,8,8,14,25,68,9,28,7,16,13,16,13,14,11,2,23
19003,1203,G Washington,2014,75,1203,79,1382,71,A,0,24,51,9,19,22,32,13,21,15,17,11,3,22,22,58,7,26,20,23,15,19,8,18,8,4,24
19004,1203,G Washington,2014,82,1203,75,1206,69,A,0,29,53,4,12,13,23,8,26,20,9,7,3,16,27,58,5,15,10,14,9,21,14,12,5,3,21
19005,1203,G Washington,2014,86,1203,69,1247,47,H,0,22,42,5,12,20,28,9,33,11,19,7,6,18,15,55,5,22,12,20,12,18,6,13,10,4,23
19006,1203,G Washington,2014,93,1203,71,1182,57,H,0,26,56,6,19,13,25,10,32,23,15,9,2,14,20,59,4,23,13,21,11,26,12,15,10,2,22
19007,1203,G Washington,2014,96,1203,93,1200,67,H,0,32,54,10,25,19,25,10,27,20,15,3,1,20,21,64,7,28,18,20,18,15,8,14,10,4,20
19008,1203,G Washington,2014,106,1203,73,1350,65,A,0,23,57,5,14,22,31,16,29,5,8,4,2,16,26,58,7,20,6,14,9,24,10,7,4,4,23
19009,1203,G Washington,2014,118,1203,66,1206,58,H,0,21,49,8,19,16,29,14,25,12,16,7,1,17,22,58,3,16,11,14,11,23,12,12,7,2,23
19010,1203,G Washington,2014,121,1203,76,1386,71,H,0,25,55,9,20,17,27,13,26,15,11,3,3,15,25,56,8,26,13,22,9,23,19,7,4,3,22
19011,1203,G Washington,2014,124,1203,70,1200,67,A,0,23,48,6,12,18,27,6,22,12,5,4,1,17,24,64,3,24,16,17,18,27,12,7,1,3,24
19012,1203,G Washington,2014,130,1203,85,1269,77,N,0,30,59,9,21,16,25,12,27,18,19,10,5,20,28,65,7,24,14,18,12,23,12,17,8,2,24
19192,1204,Ga Southern,2014,23,1204,76,1342,66,N,0,26,54,11,30,13,19,12,26,12,14,7,0,13,25,51,12,25,4,7,2,22,19,15,5,0,20
19193,1204,Ga Southern,2014,33,1204,79,1354,61,A,0,29,58,10,23,11,16,10,16,9,10,4,0,11,24,49,7,19,6,9,10,21,12,19,2,0,15
19194,1204,Ga Southern,2014,44,1204,73,1244,55,H,0,25,57,6,18,17,18,9,27,7,10,10,4,12,19,56,8,17,9,13,12,24,10,18,6,5,16
19195,1204,Ga Southern,2014,54,1204,66,1299,63,A,0,20,44,8,21,18,28,11,29,10,15,6,3,22,21,72,4,23,17,24,28,20,6,10,4,1,21
19196,1204,Ga Southern,2014,61,1204,80,1359,78,H,0,23,47,8,18,26,38,12,21,8,15,1,1,20,26,53,8,19,18,24,9,16,11,12,5,0,26
19197,1204,Ga Southern,2014,73,1204,88,1202,81,H,1,30,60,11,21,17,28,15,20,16,14,9,2,17,31,56,7,19,12,19,10,23,9,18,11,3,21
19198,1204,Ga Southern,2014,87,1204,83,1154,52,H,0,31,58,11,22,10,17,11,32,19,10,8,3,16,20,57,1,13,11,15,9,20,6,12,2,3,15
19199,1204,Ga Southern,2014,89,1204,64,1422,62,A,0,23,59,6,25,12,19,16,23,8,13,3,1,18,22,47,6,17,12,19,6,22,9,13,3,4,16
19200,1204,Ga Southern,2014,108,1204,77,1151,61,A,0,31,59,9,22,6,7,9,28,12,14,7,5,20,20,50,6,20,15,27,11,19,13,14,6,3,12
19201,1204,Ga Southern,2014,115,1204,82,1202,73,A,0,27,51,9,20,19,26,10,21,8,15,9,1,22,24,51,6,21,19,23,6,17,12,12,5,1,20
19202,1204,Ga Southern,2014,123,1204,65,1202,50,N,0,27,54,3,12,8,11,8,26,10,15,13,2,16,16,44,4,19,14,18,4,19,9,17,4,3,12
19203,1204,Ga Southern,2014,124,1204,62,1151,55,N,0,21,49,3,15,17,25,8,22,5,9,3,1,14,20,47,4,20,11,16,9,23,13,14,4,2,19
19354,1205,Gardner Webb,2014,12,1205,87,1239,78,H,0,28,57,5,11,26,36,15,24,18,11,9,3,20,28,59,2,10,20,25,11,18,13,13,4,9,26
19355,1205,Gardner Webb,2014,24,1205,61,1237,54,N,0,23,51,4,10,11,13,8,28,12,16,10,3,15,20,63,4,16,10,10,15,22,5,13,8,4,15
19356,1205,Gardner Webb,2014,25,1205,86,1287,82,N,1,23,55,7,19,33,44,15,18,11,17,8,3,24,29,58,5,18,19,26,14,22,12,21,9,2,32
19357,1205,Gardner Webb,2014,33,1205,67,1154,55,A,0,23,47,3,17,18,27,6,24,12,13,9,1,20,19,50,2,15,15,22,10,24,15,18,4,2,22
19358,1205,Gardner Webb,2014,72,1205,56,1457,51,A,0,20,52,3,14,13,16,14,28,10,15,3,4,21,15,54,4,20,17,27,15,19,6,10,9,5,21
19359,1205,Gardner Webb,2014,75,1205,67,1342,58,A,0,24,53,7,19,12,16,8,24,8,14,10,0,20,17,39,2,13,22,30,4,24,8,17,6,3,15
19360,1205,Gardner Webb,2014,82,1205,66,1144,48,H,0,23,51,4,8,16,22,14,29,13,13,4,4,13,18,55,6,29,6,8,10,18,11,11,7,6,18
19361,1205,Gardner Webb,2014,86,1205,82,1255,62,A,0,33,55,9,12,7,11,6,22,22,12,4,0,11,26,54,5,13,5,6,7,18,13,14,6,1,13
19362,1205,Gardner Webb,2014,89,1205,73,1347,72,A,1,28,66,7,16,10,13,15,29,11,11,2,1,17,26,60,4,11,16,25,10,26,8,8,5,10,17
19363,1205,Gardner Webb,2014,96,1205,80,1219,76,H,0,26,57,4,13,24,31,14,22,17,8,9,6,16,29,60,6,17,12,16,11,21,12,11,4,8,21
19364,1205,Gardner Webb,2014,99,1205,68,1251,52,A,0,27,60,7,20,7,8,12,23,14,12,11,6,17,18,48,3,11,13,19,12,21,5,18,5,3,13
19365,1205,Gardner Webb,2014,107,1205,79,1342,70,H,0,28,63,5,15,18,28,17,24,16,11,9,2,18,25,47,4,15,16,24,2,25,13,13,5,2,21
19366,1205,Gardner Webb,2014,110,1205,85,1457,79,H,1,30,56,4,13,21,35,9,26,22,8,7,4,18,28,62,7,20,16,21,11,23,16,13,3,2,27
19367,1205,Gardner Webb,2014,114,1205,78,1149,76,A,0,28,56,5,9,17,22,9,16,14,10,6,5,9,29,54,7,15,11,15,11,20,7,13,4,2,16
19368,1205,Gardner Webb,2014,121,1205,81,1255,65,N,0,29,51,6,13,17,28,13,29,15,15,7,6,13,25,58,4,15,11,16,5,17,8,8,9,2,19
19623,1206,George Mason,2014,4,1206,63,1110,60,H,0,20,47,4,14,19,31,14,20,7,13,10,2,16,22,49,9,28,7,11,9,18,12,16,8,5,22
19624,1206,George Mason,2014,8,1206,68,1249,54,A,0,27,50,8,17,6,13,10,26,15,19,9,4,19,19,53,2,11,14,16,10,18,9,15,7,2,15
19625,1206,George Mason,2014,12,1206,76,1320,70,H,0,24,54,5,16,23,27,13,23,9,16,3,4,21,20,50,6,21,24,28,7,18,8,14,8,4,24
19626,1206,George Mason,2014,15,1206,58,1384,46,H,0,17,45,3,11,21,31,11,32,8,17,3,3,21,15,50,6,24,10,26,11,23,9,13,7,5,25
19627,1206,George Mason,2014,26,1206,61,1348,54,H,0,21,50,2,11,17,26,11,22,11,13,6,8,18,20,50,2,10,12,17,7,21,4,15,7,3,24
19628,1206,George Mason,2014,51,1206,65,1388,63,N,0,21,44,3,5,20,26,7,19,4,13,4,1,23,20,48,9,25,14,24,10,17,12,13,5,2,22
19629,1206,George Mason,2014,59,1206,80,1335,77,H,0,24,53,6,16,26,36,13,23,10,14,6,5,13,28,61,9,19,12,16,10,20,13,15,10,3,24
19630,1206,George Mason,2014,96,1206,74,1182,68,A,0,25,50,4,10,20,28,8,28,10,13,5,2,16,23,55,10,24,12,21,9,21,12,13,7,1,17
19631,1206,George Mason,2014,100,1206,91,1269,80,A,0,31,66,7,13,22,29,15,25,18,11,3,7,24,27,68,7,25,19,30,18,23,18,11,5,10,19
19632,1206,George Mason,2014,114,1206,69,1350,60,H,0,27,48,4,5,11,20,9,26,12,9,5,5,14,23,62,10,30,4,7,14,19,12,9,4,3,19
19633,1206,George Mason,2014,122,1206,59,1247,57,A,0,22,61,1,11,14,17,14,29,15,11,8,3,13,19,56,7,20,12,13,9,26,9,11,8,3,15
19879,1207,Georgetown,2014,9,1207,88,1460,70,H,0,28,56,10,22,22,34,13,27,17,16,7,6,17,22,57,7,23,19,22,10,21,12,15,8,2,26
19880,1207,Georgetown,2014,18,1207,90,1243,63,N,0,33,52,6,13,18,22,5,23,19,7,7,5,24,18,50,4,12,23,31,15,17,6,16,3,2,19
19881,1207,Georgetown,2014,20,1207,84,1433,80,N,0,23,41,6,11,32,37,6,28,8,26,8,3,32,20,56,6,18,34,47,14,15,9,17,15,4,29
19882,1207,Georgetown,2014,26,1207,70,1252,49,H,0,26,59,7,27,11,17,13,35,22,11,4,4,19,16,59,5,28,12,23,13,24,6,8,8,0,18
19883,1207,Georgetown,2014,31,1207,80,1219,45,H,0,32,58,10,24,6,11,11,29,23,15,6,4,18,16,57,3,21,10,14,15,19,11,16,5,4,17
19884,1207,Georgetown,2014,33,1207,61,1159,55,H,0,21,56,1,15,18,25,15,27,10,11,5,4,16,16,50,5,24,18,23,10,23,8,11,6,2,20
19885,1207,Georgetown,2014,43,1207,85,1189,76,H,0,28,52,6,11,23,31,6,24,20,5,8,1,19,27,54,13,29,9,18,8,23,19,11,2,2,24
19886,1207,Georgetown,2014,54,1207,92,1198,57,H,0,34,56,5,14,19,24,12,21,16,11,5,7,20,19,46,5,13,14,26,11,11,10,18,5,1,19
19887,1207,Georgetown,2014,57,1207,61,1177,54,H,0,21,45,4,12,15,27,2,31,9,16,9,4,21,18,55,5,19,13,26,12,27,8,18,9,4,23
19888,1207,Georgetown,2014,61,1207,77,1385,60,H,0,23,41,9,13,22,36,8,29,17,18,9,4,22,23,58,4,15,10,20,10,20,8,12,12,5,26
19889,1207,Georgetown,2014,68,1207,70,1139,67,A,1,29,64,4,20,8,16,13,30,13,11,4,5,28,20,60,2,21,25,33,14,22,9,7,3,1,20
19890,1207,Georgetown,2014,89,1207,64,1277,60,N,0,22,49,2,12,18,24,15,22,9,16,8,6,14,21,53,9,29,9,16,13,17,13,15,7,4,21
19891,1207,Georgetown,2014,91,1207,71,1177,59,A,0,18,50,5,17,30,41,14,24,7,7,7,7,22,19,51,4,17,17,26,14,25,6,13,4,6,30
19892,1207,Georgetown,2014,96,1207,71,1139,63,H,0,27,55,1,12,16,19,12,19,14,7,5,3,19,21,50,4,10,17,21,12,18,8,11,2,2,19
19893,1207,Georgetown,2014,98,1207,83,1344,71,H,0,26,55,7,22,24,30,8,23,15,5,4,5,17,21,56,7,21,22,27,11,23,10,12,2,1,24
19894,1207,Georgetown,2014,110,1207,74,1462,52,H,0,25,48,5,12,19,26,8,18,14,3,5,5,20,16,38,4,12,16,20,5,16,8,11,0,3,19
19895,1207,Georgetown,2014,120,1207,75,1166,63,H,0,27,50,7,19,14,21,7,26,14,7,5,8,11,23,58,10,29,7,12,10,20,14,8,2,0,18
20100,1208,Georgia,2014,4,1208,72,1459,52,H,0,25,57,2,11,20,29,20,29,10,9,4,3,19,19,50,2,14,12,18,7,17,5,10,4,1,19
20101,1208,Georgia,2014,25,1208,71,1111,53,H,0,27,49,3,11,14,23,8,28,11,11,7,8,17,18,55,4,18,13,17,13,18,8,14,5,4,18
20102,1208,Georgia,2014,28,1208,87,1151,56,H,0,34,67,5,18,14,23,15,36,19,10,7,10,16,19,64,7,19,11,18,12,26,7,13,5,7,18
20103,1208,Georgia,2014,40,1208,84,1252,75,H,0,31,54,9,18,13,22,7,25,23,16,5,6,20,22,51,12,29,19,28,8,20,14,15,10,1,20
20104,1208,Georgia,2014,45,1208,58,1205,49,H,0,18,47,3,10,19,25,14,32,9,19,5,7,13,17,54,5,19,10,18,9,18,11,11,11,4,23
20105,1208,Georgia,2014,47,1208,65,1441,63,H,0,18,36,5,10,24,38,8,20,9,10,3,3,13,23,52,9,22,8,10,9,16,12,9,5,4,26
20106,1208,Georgia,2014,65,1208,70,1281,64,A,1,26,60,5,16,13,26,15,28,11,11,4,8,16,22,56,6,16,14,21,7,27,10,11,6,4,20
20107,1208,Georgia,2014,68,1208,66,1104,58,H,0,15,46,5,14,31,44,14,27,6,14,8,10,17,19,52,4,19,16,23,8,24,7,10,9,4,29
20108,1208,Georgia,2014,75,1208,66,1116,61,H,1,18,58,2,14,28,39,24,32,7,19,6,4,20,21,66,7,23,12,20,16,18,11,13,8,4,29
20109,1208,Georgia,2014,79,1208,97,1376,76,H,0,27,49,10,18,33,50,13,26,21,14,6,2,26,22,48,8,14,24,36,8,19,8,15,9,4,33
20110,1208,Georgia,2014,94,1208,91,1261,78,H,0,27,45,5,9,32,46,10,27,13,13,3,3,17,27,64,9,22,15,22,15,15,14,9,7,4,33
20111,1208,Georgia,2014,96,1208,62,1401,50,H,0,22,53,4,11,14,20,13,27,9,7,5,7,13,19,56,1,19,11,14,13,24,3,8,4,2,17
20112,1208,Georgia,2014,100,1208,75,1280,55,A,0,25,46,3,12,22,28,5,33,11,14,5,4,16,20,59,3,25,12,23,12,18,8,11,7,3,20
20113,1208,Georgia,2014,103,1208,61,1279,60,H,0,17,52,7,23,20,28,18,31,14,12,1,7,18,19,59,6,21,16,26,13,21,10,3,7,4,22
20114,1208,Georgia,2014,110,1208,73,1376,56,A,0,23,52,8,16,19,29,12,28,9,11,3,7,22,15,57,7,20,19,24,15,23,8,7,8,6,21
20115,1208,Georgia,2014,113,1208,71,1281,56,H,0,25,48,5,17,16,26,5,26,13,10,6,4,19,17,53,3,18,19,24,12,26,7,13,0,1,24
20116,1208,Georgia,2014,121,1208,66,1280,45,H,0,25,58,7,19,9,16,11,27,14,9,7,6,13,17,50,0,15,11,14,7,24,4,12,7,5,15
20117,1208,Georgia,2014,124,1208,69,1261,61,A,0,23,48,9,15,14,20,12,25,9,16,4,1,18,20,55,5,23,16,23,13,16,7,11,6,6,20
20118,1208,Georgia,2014,130,1208,75,1279,73,N,0,19,53,6,19,31,42,13,28,9,11,6,4,22,25,60,2,25,21,31,12,28,7,8,7,3,29
20298,1209,Georgia St,2014,14,1209,96,1270,70,N,0,35,63,10,19,16,20,12,31,13,11,4,5,13,26,68,11,38,7,9,11,18,12,11,6,2,16
20299,1209,Georgia St,2014,40,1209,79,1330,73,H,0,21,46,5,13,32,42,6,17,14,7,12,5,20,25,49,10,22,13,18,9,22,9,20,3,5,28
20300,1209,Georgia St,2014,46,1209,73,1204,61,H,0,25,51,9,22,14,20,7,25,15,9,6,5,15,22,52,11,26,6,14,10,23,13,11,7,0,19
20301,1209,Georgia St,2014,48,1209,99,1427,68,A,0,30,54,19,32,20,24,8,16,25,4,10,8,14,22,50,11,25,13,16,13,18,16,17,3,3,19
20302,1209,Georgia St,2014,55,1209,89,1187,82,A,0,34,66,6,18,15,21,9,28,18,9,8,1,25,26,58,8,31,22,34,11,27,21,13,5,1,22
20303,1209,Georgia St,2014,59,1209,81,1407,72,H,0,30,58,5,14,16,18,5,17,16,10,13,4,19,22,47,9,18,19,24,12,24,8,23,1,1,13
20304,1209,Georgia St,2014,61,1209,73,1375,63,A,0,20,49,9,20,24,26,2,26,10,5,3,4,21,16,51,7,27,24,31,13,28,8,10,4,4,18
20305,1209,Georgia St,2014,66,1209,77,1443,54,A,0,26,54,3,16,22,22,7,28,10,10,6,7,15,18,63,10,32,8,16,22,21,10,16,4,1,21
20306,1209,Georgia St,2014,73,1209,73,1117,72,H,0,28,58,7,21,10,11,5,21,14,6,6,3,12,27,63,11,28,7,11,15,26,19,12,4,2,11
20307,1209,Georgia St,2014,75,1209,99,1114,73,H,0,34,64,15,34,16,27,10,16,22,8,14,3,21,25,54,2,11,21,23,10,24,13,20,5,3,20
20308,1209,Georgia St,2014,80,1209,77,1418,70,A,0,21,52,8,14,27,37,6,25,10,7,6,9,19,28,70,3,19,11,17,19,30,12,11,4,5,26
20309,1209,Georgia St,2014,82,1209,66,1419,58,A,0,22,57,5,17,17,21,12,19,9,6,11,4,15,23,48,4,21,8,10,6,24,12,15,1,6,18
20310,1209,Georgia St,2014,89,1209,101,1426,91,H,1,32,68,8,21,29,34,12,21,13,10,19,2,26,27,51,13,25,24,36,10,27,16,22,6,2,24
20311,1209,Georgia St,2014,91,1209,85,1375,65,H,0,29,46,10,17,17,19,6,18,17,10,7,4,12,26,54,6,19,7,8,11,10,14,12,5,0,17
20312,1209,Georgia St,2014,94,1209,68,1114,57,A,0,22,55,5,17,19,24,11,30,12,13,7,5,17,21,57,2,14,13,17,10,25,9,13,4,3,23
20313,1209,Georgia St,2014,105,1209,68,1402,41,H,0,24,46,6,15,14,18,3,28,14,8,7,6,12,15,51,4,16,7,12,10,21,6,13,3,1,18
20314,1209,Georgia St,2014,108,1209,75,1419,60,H,0,27,57,7,26,14,18,5,27,16,6,9,5,13,20,53,9,21,11,19,10,27,11,14,3,0,15
20315,1209,Georgia St,2014,110,1209,80,1418,77,H,0,27,55,8,17,18,24,10,20,14,11,9,8,23,24,55,10,25,19,29,15,20,13,14,6,4,20
20316,1209,Georgia St,2014,115,1209,77,1426,49,A,0,29,56,8,19,11,12,6,29,14,2,4,4,14,20,56,2,15,7,14,10,22,6,7,0,3,11
20317,1209,Georgia St,2014,117,1209,66,1402,55,A,0,21,47,6,16,18,25,6,23,11,10,5,5,19,18,53,3,18,16,26,15,22,6,12,5,2,20
20318,1209,Georgia St,2014,120,1209,79,1117,76,A,1,27,65,10,26,15,19,10,32,13,11,6,2,15,29,68,12,37,6,10,9,30,13,11,5,1,19
20319,1209,Georgia St,2014,124,1209,73,1443,55,H,0,21,53,7,24,24,33,8,27,7,7,9,5,16,20,57,5,23,10,17,11,27,9,12,6,1,25
20320,1209,Georgia St,2014,131,1209,72,1117,45,N,0,26,52,6,20,14,20,5,28,17,3,5,6,15,17,53,5,24,6,14,10,23,10,10,0,3,19
20533,1210,Georgia Tech,2014,4,1210,88,1342,57,H,0,35,69,5,19,13,20,14,33,18,6,10,5,18,20,59,6,20,11,15,9,23,9,13,5,2,18
20534,1210,Georgia Tech,2014,7,1210,68,1175,50,H,0,24,45,2,10,18,20,4,26,19,12,5,7,11,19,56,6,22,6,9,11,17,12,12,3,1,19
20535,1210,Georgia Tech,2014,11,1210,80,1208,71,A,0,26,67,4,14,24,31,15,34,9,12,8,4,21,23,60,6,20,19,29,9,31,10,13,4,7,23
20536,1210,Georgia Tech,2014,20,1210,78,1299,71,H,0,22,50,5,15,29,46,11,25,15,10,9,1,24,20,50,10,22,21,31,10,24,16,14,2,3,33
20537,1210,Georgia Tech,2014,22,1210,76,1290,59,H,0,31,61,5,14,9,17,13,36,20,15,6,8,14,20,62,11,29,8,14,10,18,12,11,6,2,15
20538,1210,Georgia Tech,2014,29,1210,67,1228,64,H,0,23,56,6,19,15,19,12,21,13,9,2,2,12,23,55,7,23,11,15,9,21,13,11,3,7,19
20539,1210,Georgia Tech,2014,33,1210,87,1190,57,H,0,33,65,10,23,11,14,13,33,26,17,10,7,16,21,67,4,22,11,15,16,20,13,15,13,1,15
20540,1210,Georgia Tech,2014,42,1210,74,1244,57,H,0,27,59,2,11,18,29,16,30,14,11,7,6,19,21,55,2,16,13,28,14,23,10,11,7,4,25
20541,1210,Georgia Tech,2014,55,1210,58,1150,55,A,0,23,51,4,17,8,10,13,28,10,16,4,7,16,20,60,6,18,9,14,16,16,11,8,9,1,13
20542,1210,Georgia Tech,2014,68,1210,74,1323,69,H,0,27,63,7,21,13,20,13,28,17,11,6,6,13,28,70,6,24,7,9,12,28,17,8,6,2,18
20543,1210,Georgia Tech,2014,78,1210,68,1130,60,A,0,25,48,8,15,10,13,7,25,10,10,4,1,14,21,52,8,23,10,13,4,16,7,4,3,4,10
20544,1210,Georgia Tech,2014,89,1210,79,1448,70,A,0,26,53,6,13,21,26,10,23,14,19,8,4,24,20,49,3,15,27,33,7,17,13,16,14,5,22
20545,1210,Georgia Tech,2014,100,1210,74,1130,71,H,0,28,52,4,12,14,19,13,23,14,11,3,3,10,27,53,9,17,8,12,7,12,14,5,8,2,16
